Código Antiguo ;Código Vigente;Código  Madre Antiguo;Código Madre Nuevo;Código Región;Nombre Región;Código Dependencia Jerárquica (SEREMI / Servicio de Salud);Nombre Dependencia Jerárquica (SEREMI / Servicio de Salud);Pertenencia al SNSS;Tipo Establecimiento (Unidad);Ámbito de Funcionamiento;Nombre Oficial;Certificación ;Dependencia Administrativa;Nivel de Atención;Código Comuna;Nombre Comuna;Vía;Número;Dirección;Teléfono;Fecha Inicio Funcionamiento;Tiene Servicio de Urgencia;Tipo de Urgencia ;Clasificcion Tipo de SAPU;LATITUD      [Grados decimales];LONGITUD [Grados decimales];Tipo de Prestador Sistema de Salud;Estado de Funcionamiento;Nivel de Complejidad;Tipo de Atención ;
24-553;124553;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural San Ramón (Calbuco);No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector San Ramón;;38716;NO;No Aplica;No Aplica;-41,742554;-73,059757;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-325;124325;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Carelmapu;Centro de Salud Familiar;Municipal;Primario;10108;Maullín;Avenida;;Circunvalación, localidad de Carelmapu;652477401;40872;NO;No Aplica;No Aplica;-41,741145;-73,701614;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-452;124452;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Peñasmo;No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector Peñasmo;;38716;NO;No Aplica;No Aplica;-41,740102;-73,263434;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-543;124543;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Valle El Frío;No Aplica;Municipal;Primario;10103;Cochamó;Calle;;Sector Valle El Frío;;38716;NO;No Aplica;No Aplica;-41,73283;-71,923649;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-555;124555;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Llaguepe;No Aplica;Municipal;Primario;10103;Cochamó;Calle;;Sector Cochamó;;38716;NO;No Aplica;No Aplica;-41,722173;-72,484076;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-461;124461;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural San Agustín (Calbuco);No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector San Agustín;;38716;NO;No Aplica;No Aplica;-41,718764;-73,057281;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-554;124554;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Huayún;No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector Huayún;;38716;NO;No Aplica;No Aplica;-41,709583;-73,242801;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-459;124459;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Quetrulauquén;No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector Quetrulauquén;;38716;NO;No Aplica;No Aplica;-41,677918;-72,937584;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-541;124541;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Huelmo;No Aplica;Municipal;Primario;10101;Puerto Montt;Calle;;Aldea de Huelmo;;38716;NO;No Aplica;No Aplica;-41,67371;-73,062527;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-455;124455;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Huar;No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector Huar-Alfaro;;38716;NO;No Aplica;No Aplica;-41,670919;-72,989427;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-449;124449;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Putenio;No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector Putenio;;38716;NO;No Aplica;No Aplica;-41,668284;-73,135171;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-412;124412;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Cochamó;Centro de Salud Familiar;Municipal;Primario;10103;Cochamó;Calle;;Bueras;659382;43096;NO;No Aplica;No Aplica;-41,664098;-72,295796;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-413;124413;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Sotomó;No Aplica;Municipal;Primario;10103;Cochamó;Calle;;Sector de Sotomó;;38716;NO;No Aplica;No Aplica;-41,647255;-72,316937;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-125;124125;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital de Maullín;No Aplica;Servicio de Salud;Primario;10108;Maullín;Calle;136;Gabriela Mistral ;652326670;38716;SI;Urgencia Hospitalaria (UEH);No Aplica;-41,616851;-73,598474;Público ;Vigente en operación habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
24-403;124403;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Chaicas;No Aplica;Municipal;Primario;10101;Puerto Montt;Calle;;Aldea Chaicas;;38716;NO;No Aplica;No Aplica;-41,614714;-72,65441;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-444;124444;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Peñol;No Aplica;Municipal;Primario;10108;Maullín;Calle;;Sector Peñol;;38716;NO;No Aplica;No Aplica;-41,60722;-73,476748;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-404;124404;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Lenca;No Aplica;Municipal;Primario;10101;Puerto Montt;Calle;;Aldea de Lenca;;38716;NO;No Aplica;No Aplica;-41,604414;-72,688634;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-446;124446;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural La Pasada;No Aplica;Municipal;Primario;10108;Maullín;Calle;;Aldea La Pasada;;38716;NO;No Aplica;No Aplica;-41,602616;-73,593683;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-406;124406;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Maillén;No Aplica;Municipal;Primario;10101;Puerto Montt;Calle;;Sector Maillén;;38716;NO;No Aplica;No Aplica;-41,583088;-73,00021;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-410;124410;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Panitao;No Aplica;Municipal;Primario;10101;Puerto Montt;Calle;;Caserío Panitao;;38716;NO;No Aplica;No Aplica;-41,572387;-73,093579;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-447;124447;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Quenuir;No Aplica;Municipal;Primario;10108;Maullín;Calle;;Aldea de Quenuir;;38716;NO;No Aplica;No Aplica;-41,563504;-73,676279;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-407;124407;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Salto Grande;No Aplica;Municipal;Primario;10101;Puerto Montt;Calle;;Caserío Salto Grande;;38716;NO;No Aplica;No Aplica;-41,53795;-73,276882;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-443;124443;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Misquihue;No Aplica;Municipal;Primario;10108;Maullín;Calle;;Sector de Misquihue;;38716;NO;No Aplica;No Aplica;-41,532824;-73,373065;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-409;124409;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Trapén;No Aplica;Municipal;Primario;10101;Puerto Montt;Calle;;Caserío Trapén;;38716;NO;No Aplica;No Aplica;-41,529009;-73,123144;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-544;124544;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Piedra Azul;No Aplica;Municipal;Primario;10101;Puerto Montt;Calle;;Aldea de Piedra Azul;;38716;NO;No Aplica;No Aplica;-41,50826;-72,78969;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-464;124464;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Cumbre Alta;No Aplica;Municipal;Primario;10106;Los Muermos;Calle;;Sector Cumbre Alta;;38716;NO;No Aplica;No Aplica;-41,505625;-73,618599;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-416;124416;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Paso El León;No Aplica;Municipal;Primario;10103;Cochamó;Calle;;Sector Paso El León;;38716;NO;No Aplica;No Aplica;-41,50472;-71,857489;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-465;124465;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Quillagua (Los Muermos);No Aplica;Municipal;Primario;10106;Los Muermos;Calle;;Sector Quillagua;;38716;NO;No Aplica;No Aplica;-41,497319;-73,772361;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-905;200353;;;10;Región De Los Lagos;10;SEREMI De Los Lagos;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Salud Médico Dental Universitario de la Universidad de Los Lagos;No Aplica;Privado;Secundario;10101;Puerto Montt;Calle;;Camino Chinquihue, Km 6;;40550;NO;No Aplica;No Aplica;-41,494143;-72,987206;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-411;124411;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Cochamó;No Aplica;Municipal;Primario;10103;Cochamó;Calle;;Aldea de Cochamó;;38716;NO;No Aplica;No Aplica;-41,492505;-72,308686;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-408;124408;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Salto Chico;No Aplica;Municipal;Primario;10101;Puerto Montt;Calle;;Caserío Salto Chico;;38716;NO;No Aplica;No Aplica;-41,485651;-73,27422;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-705;124705;24-305;124305;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Anahuac;No Aplica;Municipal;Primario;10101;Puerto Montt;Calle;;Mazatlán ;652328662;38716;NO;No Aplica;No Aplica;-41,48461;-72,976291;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-715;124715;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Chamiza;No Aplica;Municipal;Primario;10101;Puerto Montt;Calle;;Chamiza, Kilómetro Nº 9.5;652482953;38716;NO;No Aplica;No Aplica;-41,48391;-72,854153;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-260;124260;;;10;Región De Los Lagos;10;SEREMI De Los Lagos;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Andes Salud Puerto Montt;No Aplica;Privado;Terciario;10101;Puerto Montt;Avenida;123;Bellavista;652209800;45265;SI;Urgencia Hospitalaria (UEH);No Aplica;-41,48308;-72,90296;Privado;Vigente en operación habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
24-979;200309;;;10;Región De Los Lagos;10;SEREMI De Los Lagos;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico Institucional de Gendarmería de Chile (Puerto Montt);No Aplica;Gendamería;Secundario;10101;Puerto Montt;Calle;;Panamericana Norte;;41401;NO;No Aplica;No Aplica;-41,482256;-73,00836;Fuerzas Armadas y de Orden;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-274;124274;;;10;Región De Los Lagos;10;SEREMI De Los Lagos;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Complejo Penitenciario de Puerto Montt;No Aplica;Gendamería;No Aplica;10101;Puerto Montt;Calle;1027;Kilometro;652223632;38716;NO;No Aplica;No Aplica;-41,481732;-73,009069;Fuerzas Armadas y de Orden;Vigente en operación habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
24-602;124602;24-010;124010;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Mental  (COSAM);Unidad de Atención;COSAM de Reloncaví;No Aplica;Servicio de Salud;Secundario;10101;Puerto Montt;Calle;1582;Chorrillos ;;38716;NO;No Aplica;No Aplica;-41,480555;-72,956342;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
24-240;124240;;;10;Región De Los Lagos;10;SEREMI De Los Lagos;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Policlínico Instituto de Seguridad del Trabajo de Puerto Montt;No Aplica;Privado;No Aplica;10101;Puerto Montt;Calle;2200;Diego Portales;642484301;38716;NO;No Aplica;No Aplica;-41,479191;-72,952662;Privado;Vigente en operación habitual;Pendiente;Atención Abierta-Ambulatoria;
24-973;200073;;;10;Región De Los Lagos;10;SEREMI De Los Lagos;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Salud Medicina Integral y Ejercicio;No Aplica;Privado;Secundario;10101;Puerto Montt;Avenida;133;Bellavista;652289420;38716;NO;No Aplica;No Aplica;-41,477432;-72,914106;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-385;124385;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar San Pablo Mirasol (ONG);Centro de Salud Familiar;Otra Institución;Primario;10101;Puerto Montt;Calle;;Ebensperger Alto ;652254452;38716;NO;No Aplica;No Aplica;-41,475105;-72,961876;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-381;124381;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Padre Hurtado;Centro de Salud Familiar;Municipal;Primario;10101;Puerto Montt;Avenida;;La Cruz;652437629;38716;NO;No Aplica;No Aplica;-41,474963;-72,984636;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-881;124881;24-381;124381;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Padre Hurtado;No Aplica;Municipal;Primario;10101;Puerto Montt;Avenida;;Vicuña Mackenna ;652482807;38716;SI;Urgencia Ambulatoria (SAPU);Largo;-41,474835;-72,984859;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-280;124280;;;10;Región De Los Lagos;10;SEREMI De Los Lagos;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico Naval de Puerto Montt;No Aplica;Fuerzas Armadas y de Orden (FFAA);Secundario;10101;Puerto Montt;Avenida;2300;Diego Portales;652438031;38716;NO;No Aplica;No Aplica;-41,4745;-72,96701;Fuerzas Armadas y de Orden;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
